場所,芝・ダート,距離,トラックコード,コーナー回数,CourseKey,参考URL,初角距離m,初角距離表現,最終直線m,コース形態,スタート勾配,道中勾配,直線勾配,コーナー形状,参考ペース傾向,参考脚質傾向,参考枠傾向,StartDashWeight,EarlyTrackingWeight,FirstTurnPressure,ClosingOpportunity,LongSpurtOpportunity,データ状態,備考,モデル利用区分,初角距離Source,最終直線Source,初角距離推定フラグ,StructureConfidence
中山,ダート,1200,1,2.0,中山_ダート_1200_TC1,https://horse-racing-ai-navi.com/archives/10716,405.0,,308.0,,,,,,,,,0.5625,0.4375,0.2375,0.1288888888888889,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中山,ダート,1800,1,4.0,中山_ダート_1800_TC1,https://horse-racing-ai-navi.com/archives/10716,330.0,,308.0,,,,,,,,,0.625,0.375,0.425,0.1288888888888889,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中山,ダート,2400,1,6.0,中山_ダート_2400_TC1,https://horse-racing-ai-navi.com/archives/10716,290.0,,308.0,,,,,,,,,0.6583333333333333,0.3416666666666667,0.525,0.1288888888888889,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中山,ダート,2500,1,6.0,中山_ダート_2500_TC1,https://horse-racing-ai-navi.com/archives/10716,290.0,,308.0,,,,,,,,,0.6583333333333333,0.3416666666666667,0.525,0.1288888888888889,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中山,芝,1200,8,2.0,中山_芝_1200_TC8,https://horse-racing-ai-navi.com/archives/10716,250.0,約250m,310.0,外回りワンターン,下り,下り基調,急坂,,ミドル,逃げ・先行,内有利,0.6916666666666667,0.30833333333333335,0.625,0.13333333333333333,0.6,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
中山,芝,1600,8,3.0,中山_芝_1600_TC8,https://horse-racing-ai-navi.com/archives/10716,245.0,250m弱,310.0,外回り,下り,下り基調,急坂,,ややスロー,逃げ・先行,内有利,0.6958333333333333,0.3041666666666667,0.6375,0.13333333333333333,0.6,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
中山,芝,1800,0,4.0,中山_芝_1800_TC0,https://horse-racing-ai-navi.com/archives/10716,410.0,,310.0,,,,,,,,,0.5583333333333333,0.44166666666666665,0.225,0.13333333333333333,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中山,芝,2000,0,4.0,中山_芝_2000_TC0,https://horse-racing-ai-navi.com/archives/10716,410.0,,310.0,,,,,,,,,0.5583333333333333,0.44166666666666665,0.225,0.13333333333333333,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中山,芝,2200,8,4.0,中山_芝_2200_TC8,https://horse-racing-ai-navi.com/archives/10716,410.0,,310.0,,,,,,,,,0.5583333333333333,0.44166666666666665,0.225,0.13333333333333333,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中山,芝,2500,0,5.0,中山_芝_2500_TC0,https://horse-racing-ai-navi.com/archives/10716,350.0,,310.0,,,,,,,,,0.6083333333333334,0.3916666666666666,0.375,0.13333333333333333,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中山,芝,3600,0,6.0,中山_芝_3600_TC0,https://horse-racing-ai-navi.com/archives/10716,200.0,,310.0,,,,,,,,,0.7333333333333334,0.2666666666666666,0.75,0.13333333333333333,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
京都,ダート,1200,1,2.0,京都_ダート_1200_TC1,https://horse-racing-ai-navi.com/archives/12084,405.0,,329.1,,,,,,,,,0.5625,0.4375,0.2375,0.17577777777777784,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
京都,ダート,1400,1,2.0,京都_ダート_1400_TC1,https://horse-racing-ai-navi.com/archives/12084,405.0,,329.1,,,,,,,,,0.5625,0.4375,0.2375,0.17577777777777784,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
京都,ダート,1800,1,4.0,京都_ダート_1800_TC1,https://horse-racing-ai-navi.com/archives/12084,330.0,,329.1,,,,,,,,,0.625,0.375,0.425,0.17577777777777784,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
京都,ダート,1900,1,4.0,京都_ダート_1900_TC1,https://horse-racing-ai-navi.com/archives/12084,330.0,,329.1,,,,,,,,,0.625,0.375,0.425,0.17577777777777784,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
京都,芝,1200,0,2.0,京都_芝_1200_TC0,https://horse-racing-ai-navi.com/archives/12084,320.0,,328.4,,,,,,,,,0.6333333333333333,0.3666666666666667,0.45,0.17422222222222217,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,inferred_same_route,JRA公式コースデータ,True,MID
京都,芝,1400,0,2.0,京都_芝_1400_TC0,https://horse-racing-ai-navi.com/archives/12084,520.0,,328.4,,,,,,,,,0.4666666666666667,0.5333333333333333,0.0,0.17422222222222217,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,inferred_same_route,JRA公式コースデータ,True,MID
京都,芝,1400,8,2.0,京都_芝_1400_TC8,https://horse-racing-ai-navi.com/archives/12084,510.0,,403.7,,,,,,,,,0.47500000000000003,0.5249999999999999,0.0,0.34155555555555556,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,inferred_same_route,JRA公式コースデータ,True,MID
京都,芝,1600,0,2.0,京都_芝_1600_TC0,https://horse-racing-ai-navi.com/archives/12084,720.0,約720m,328.4,内回りワンターン,上り基調,3C入口まで上り→3-4C下り,平坦,スパイラル,ミドル,逃げ・先行＋差し余地,外も可,0.30000000000000004,0.7,0.0,0.17422222222222217,0.7,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
京都,芝,1600,8,2.0,京都_芝_1600_TC8,https://horse-racing-ai-navi.com/archives/12084,710.0,約710m,403.7,外回りワンターン,急な上り,3Cまで上り→3-4C下り,平坦,スパイラル,ミドル～ややスロー,フラット,フラット,0.30833333333333335,0.6916666666666667,0.0,0.34155555555555556,0.7,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
京都,芝,1800,8,2.0,京都_芝_1800_TC8,https://horse-racing-ai-navi.com/archives/12084,910.0,,403.7,,,,,,,,,0.25,0.75,0.0,0.34155555555555556,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,inferred_same_route,JRA公式コースデータ,True,MID
京都,芝,2000,0,4.0,京都_芝_2000_TC0,https://horse-racing-ai-navi.com/archives/12084,410.0,,328.4,,,,,,,,,0.5583333333333333,0.44166666666666665,0.225,0.17422222222222217,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
京都,芝,2200,8,4.0,京都_芝_2200_TC8,https://horse-racing-ai-navi.com/archives/12084,410.0,,403.7,,,,,,,,,0.5583333333333333,0.44166666666666665,0.225,0.34155555555555556,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
京都,芝,2400,8,4.0,京都_芝_2400_TC8,https://horse-racing-ai-navi.com/archives/12084,410.0,,403.7,,,,,,,,,0.5583333333333333,0.44166666666666665,0.225,0.34155555555555556,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
京都,芝,3000,8,6.0,京都_芝_3000_TC8,https://horse-racing-ai-navi.com/archives/12084,200.0,,403.7,,,,,,,,,0.7333333333333334,0.2666666666666666,0.75,0.34155555555555556,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
京都,芝,3200,8,6.0,京都_芝_3200_TC8,https://horse-racing-ai-navi.com/archives/12084,200.0,,403.7,,,,,,,,,0.7333333333333334,0.2666666666666666,0.75,0.34155555555555556,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
函館,ダート,1000,1,2.0,函館_ダート_1000_TC1,https://horse-racing-ai-navi.com/archives/6743,370.0,370m弱,260.3,ワンターン,,,,,ややハイ,逃げ・先行,外,0.5916666666666667,0.4083333333333333,0.325,0.022888888888888913,,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
函館,ダート,1700,1,4.0,函館_ダート_1700_TC1,https://horse-racing-ai-navi.com/archives/6743,330.0,330m弱,260.3,1周,,,,,ややハイ,逃げ・先行,内,0.625,0.375,0.425,0.022888888888888913,,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
函館,ダート,2400,1,6.0,函館_ダート_2400_TC1,https://horse-racing-ai-navi.com/archives/6743,290.0,約290m,260.3,1周半,,,,,明確傾向なし,逃げ・先行,中～外,0.6583333333333333,0.3416666666666667,0.525,0.022888888888888913,,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
函館,芝,1000,0,2.0,函館_芝_1000_TC0,https://horse-racing-ai-navi.com/archives/6743,290.0,,262.1,,,,,,,,,0.6583333333333333,0.3416666666666667,0.525,0.026888888888888938,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,inferred_same_route,JRA公式コースデータ,True,MID
函館,芝,1200,0,2.0,函館_芝_1200_TC0,https://horse-racing-ai-navi.com/archives/6743,490.0,500m弱,262.1,ワンターン,,,,,ややハイ,逃げ・先行,フラット,0.4916666666666667,0.5083333333333333,0.025,0.026888888888888938,,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
函館,芝,1800,0,4.0,函館_芝_1800_TC0,https://horse-racing-ai-navi.com/archives/6743,290.0,,262.1,,,,,,,,,0.6583333333333333,0.3416666666666667,0.525,0.026888888888888938,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,inferred_same_route,JRA公式コースデータ,True,MID
函館,芝,2000,0,4.0,函館_芝_2000_TC0,https://horse-racing-ai-navi.com/archives/6743,490.0,500m弱,262.1,1周,,,,,ミドル,逃げ・先行,やや内,0.4916666666666667,0.5083333333333333,0.025,0.026888888888888938,,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
函館,芝,2600,0,6.0,函館_芝_2600_TC0,https://horse-racing-ai-navi.com/archives/6743,200.0,,262.1,,,,,,,,,0.7333333333333334,0.2666666666666666,0.75,0.026888888888888938,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
小倉,ダート,1000,1,2.0,小倉_ダート_1000_TC1,https://horse-racing-ai-navi.com/archives/6813,365.0,,291.3,,,,,,,,,0.5958333333333334,0.40416666666666656,0.3375,0.0917777777777778,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
小倉,ダート,1700,1,4.0,小倉_ダート_1700_TC1,https://horse-racing-ai-navi.com/archives/6813,340.0,,291.3,,,,,,,,,0.6166666666666667,0.3833333333333333,0.4,0.0917777777777778,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
小倉,ダート,2400,1,6.0,小倉_ダート_2400_TC1,https://horse-racing-ai-navi.com/archives/6813,290.0,,291.3,,,,,,,,,0.6583333333333333,0.3416666666666667,0.525,0.0917777777777778,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
小倉,芝,1200,0,2.0,小倉_芝_1200_TC0,https://horse-racing-ai-navi.com/archives/6813,480.0,,293.0,,,,,,,,,0.5,0.5,0.05,0.09555555555555556,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
小倉,芝,1800,0,4.0,小倉_芝_1800_TC0,https://horse-racing-ai-navi.com/archives/6813,280.0,,293.0,,,,,,,,,0.6666666666666667,0.33333333333333326,0.55,0.09555555555555556,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,inferred_same_route,JRA公式コースデータ,True,MID
小倉,芝,2000,0,4.0,小倉_芝_2000_TC0,https://horse-racing-ai-navi.com/archives/6813,480.0,,293.0,,,,,,,,,0.5,0.5,0.05,0.09555555555555556,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
小倉,芝,2600,0,6.0,小倉_芝_2600_TC0,https://horse-racing-ai-navi.com/archives/6813,250.0,,293.0,,,,,,,,,0.6916666666666667,0.30833333333333335,0.625,0.09555555555555556,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
新潟,ダート,1200,1,2.0,新潟_ダート_1200_TC1,https://horse-racing-ai-navi.com/archives/8944,520.0,,353.9,,,,,,,,,0.4666666666666667,0.5333333333333333,0.0,0.23088888888888884,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
新潟,ダート,1800,1,4.0,新潟_ダート_1800_TC1,https://horse-racing-ai-navi.com/archives/8944,390.0,,353.9,,,,,,,,,0.575,0.42500000000000004,0.275,0.23088888888888884,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
新潟,ダート,2500,1,6.0,新潟_ダート_2500_TC1,https://horse-racing-ai-navi.com/archives/8944,290.0,,353.9,,,,,,,,,0.6583333333333333,0.3416666666666667,0.525,0.23088888888888884,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
新潟,芝,1000,0,0.0,新潟_芝_1000_TC0,https://horse-racing-ai-navi.com/archives/8944,350.0,,358.7,,,,,,,,,0.6083333333333334,0.3916666666666666,0.375,0.24155555555555552,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
新潟,芝,1200,0,2.0,新潟_芝_1200_TC0,https://horse-racing-ai-navi.com/archives/8944,450.0,約450m,358.7,内回りワンターン,ほぼ平坦,ほぼ平坦,,,ややハイ,逃げ・先行,中～外,0.525,0.475,0.125,0.24155555555555552,,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_site,JRA公式コースデータ,False,HIGH
新潟,芝,1400,0,2.0,新潟_芝_1400_TC0,https://horse-racing-ai-navi.com/archives/8944,650.0,約650m,358.7,内回りワンターン,ほぼ平坦,ほぼ平坦,,,ややハイ,先行＋差し余地,やや外,0.3583333333333334,0.6416666666666666,0.0,0.24155555555555552,,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_site,JRA公式コースデータ,False,HIGH
新潟,芝,1600,8,2.0,新潟_芝_1600_TC8,https://horse-racing-ai-navi.com/archives/8944,550.0,約550m,658.7,外回りワンターン,ほぼ平坦,3C手前上り→3-4C下り,,スパイラル,スロー,差しも好走,中～外,0.4416666666666667,0.5583333333333333,0.0,0.9082222222222224,0.7,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_site,JRA公式コースデータ,False,HIGH
新潟,芝,1800,8,2.0,新潟_芝_1800_TC8,https://horse-racing-ai-navi.com/archives/8944,750.0,,658.7,,,,,,,,,0.275,0.725,0.0,0.9082222222222224,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
新潟,芝,2000,0,4.0,新潟_芝_2000_TC0,https://horse-racing-ai-navi.com/archives/8944,440.0,,358.7,,,,,,,,,0.5333333333333334,0.46666666666666656,0.15,0.24155555555555552,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,inferred_same_route,JRA公式コースデータ,True,MID
新潟,芝,2000,8,2.0,新潟_芝_2000_TC8,https://horse-racing-ai-navi.com/archives/8944,950.0,,658.7,,,,,,,,,0.25,0.75,0.0,0.9082222222222224,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
新潟,芝,2200,0,4.0,新潟_芝_2200_TC0,https://horse-racing-ai-navi.com/archives/8944,640.0,,358.7,,,,,,,,,0.3666666666666667,0.6333333333333333,0.0,0.24155555555555552,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
新潟,芝,2400,0,4.0,新潟_芝_2400_TC0,https://horse-racing-ai-navi.com/archives/8944,840.0,,358.7,,,,,,,,,0.25,0.75,0.0,0.24155555555555552,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
札幌,ダート,1000,1,2.0,札幌_ダート_1000_TC1,https://horse-racing-ai-navi.com/archives/7716,280.0,約280m,264.3,ワンターン,平坦,平坦,平坦,,ミドル～ややハイ,逃げ・先行,外,0.6666666666666667,0.33333333333333326,0.55,0.0317777777777778,,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
札幌,ダート,1700,1,4.0,札幌_ダート_1700_TC1,https://horse-racing-ai-navi.com/archives/7716,240.0,約240m,264.3,1周,平坦,平坦,平坦,,ミドル～ややハイ,逃げ・先行＋マクリ,中～外,0.7,0.30000000000000004,0.65,0.0317777777777778,,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
札幌,ダート,2400,1,6.0,札幌_ダート_2400_TC1,https://horse-racing-ai-navi.com/archives/7716,190.0,200m弱,264.3,1周半,平坦,平坦,平坦,,ミドル,逃げ・先行,外,0.7416666666666667,0.2583333333333333,0.775,0.0317777777777778,,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
札幌,芝,1000,0,2.0,札幌_芝_1000_TC0,https://horse-racing-ai-navi.com/archives/7716,200.0,,266.1,,,,,,,,,0.7333333333333334,0.2666666666666666,0.75,0.035777777777777825,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,inferred_same_route,JRA公式コースデータ,True,MID
札幌,芝,1200,0,2.0,札幌_芝_1200_TC0,https://horse-racing-ai-navi.com/archives/7716,400.0,約400m,266.1,ワンターン,平坦,平坦,平坦,非スパイラル,ややハイ,逃げ・先行,外枠も位置確保しやすい,0.5666666666666667,0.43333333333333335,0.25,0.035777777777777825,0.7,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
札幌,芝,1500,0,3.0,札幌_芝_1500_TC0,https://horse-racing-ai-navi.com/archives/7716,170.0,約170m,266.1,特殊ポケット,平坦,平坦,平坦,非スパイラル,ミドル,逃げ・先行,内有利,0.7583333333333333,0.2416666666666667,0.825,0.035777777777777825,0.7,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
札幌,芝,1800,0,4.0,札幌_芝_1800_TC0,https://horse-racing-ai-navi.com/archives/7716,180.0,約180m,266.1,1周,平坦,平坦,平坦,非スパイラル,スロー,逃げ・先行,内有利,0.75,0.25,0.8,0.035777777777777825,0.7,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
札幌,芝,2000,0,4.0,札幌_芝_2000_TC0,https://horse-racing-ai-navi.com/archives/7716,380.0,約380m,266.1,1周,平坦,平坦,平坦,非スパイラル,ミドル～ややスロー,逃げ・先行＋マクリ,内～中,0.5833333333333334,0.41666666666666663,0.3,0.035777777777777825,0.7,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
札幌,芝,2600,0,6.0,札幌_芝_2600_TC0,https://horse-racing-ai-navi.com/archives/7716,160.0,約160m,266.1,1周半,平坦,平坦,平坦,非スパイラル,ミドル～スロー,逃げ・先行＋マクリ,やや内,0.7666666666666667,0.23333333333333328,0.85,0.035777777777777825,0.7,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
東京,ダート,1300,1,2.0,東京_ダート_1300_TC1,https://horse-racing-ai-navi.com/archives/12115,342.0,,501.6,,,,,,,,,0.615,0.385,0.395,0.5591111111111111,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
東京,ダート,1400,1,2.0,東京_ダート_1400_TC1,https://horse-racing-ai-navi.com/archives/12115,440.0,,501.6,,,,,,,,,0.5333333333333334,0.46666666666666656,0.15,0.5591111111111111,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,verified_site,JRA公式コースデータ,False,HIGH
